slug,name,purpose,status,owner,last_edit,openai_link,dataset_link,notes
clement,Clemens Alexandrinus GPT,Sagatave patristikai (grieķu/latīņu paralēlteksti),draft,DZ,2025-10-04,,,
grinbergs,Grinbergs Heritage GPT,Latviešu/EN resursi + oskulācija,draft,DZ,2025-10-04,https://chatgpt.com/g/g-674b2daa2a2881919c2863836d1dce15-researches-in-grinberg-s-scientific-heritage?model=gpt-4o,,
vinberg,Vinberg Algebra GPT,Palīgs darbam ar E. B. Vinberg 'A Course in Algebra',draft,DZ,2025-10-04,https://chatgpt.com/g/g-676d7d204e9481919bea75bf4a5874b5-e-b-vinberg-a-course-in-algebra?model=gpt-4o,,
public, Dainis Zeps/Publicatios, Daiņa Zepa publikāciju saraksti pa grupām,draft,DZ,2025-10-04,https://chatgpt.com/g/g-674880853710819188c523dcca016442-dainis-zeps-publications,,
ukraina, Vai MI var izbeigt karu? miera konf. projekts,Mēs gribam sākt miera konferenci Ukrainas kara izbeigšanai,draft,DZ,2025-10-04,https://chatgpt.com/g/g-6794a6c3715881918007fd0fa9baaf31-vai-mi-var-izbeigt-karu-miera-konf-projekts?model=gpt-4o,, 
providens,"Planetārā izglītība, noosfēra, providence",No planetārās izglītības uz noosfēru pretī providencei,draft,DZ,2025-10-04,https://chatgpt.com/g/g-67d917dffcb48191bf5ff2b6f1113b77-planetara-izglitiba-noosfera-providence?model=gpt-4o,,
