title,url,note
"Laithy, Introduction to Differential Geometry. Manifolds, vector fields, and differential forms",https://www.math.toronto.edu/laithy/3672021/DiffGeomNotes_short.pdf,Ja submanifolds tad nopietni
"Manfredo P. do Carmo, Differential Geometry of Curves an Surfaces",https://docenti.ing.unipi.it/griff/files/dC.pdf,Pasaulslavenā autora slavenais darbs bez kā iztikt grūti
"Markus Deserno, Notes on Differential Geometry with special emphasis on surfaces in R^3",https://www.cmu.edu/biolphys/deserno/pdf/diff_geom.pdf,Īss ļoti labs ievads DG
